NAME,YEAR,PRICE,MILES
2022 Kawasaki ninja,2022,5000,800
2023 Kawasaki ninja,2023,4900,2500
2017 Kawasaki ex650 ninja,2017,3500,1600
2008 Kawasaki ninja,2008,2200,2000
2013 Kawasaki ninja,2013,3400,300
2003 Suzuki gsx-r,2003,2500,3000
2009 Kawasaki ninja,2009,800,1200
2008 Kawasaki ninja 650r,2008,3300,900
2011 Kawasaki ninja,2011,2750,2000
2001 Kawasaki ninja,2001,2250,9900
2009 Kawasaki ninja 650r,2009,3500,2900
2018 Suzuki gsx,2018,4000,100
2000 Kawasaki ninja,2000,1800,2800
2019 Kawasaki z,2019,2600,3500
2009 Kawasaki ninja,2009,2800,2400
2017 Kawasaki ninja 1000 abs,2017,4400,500
-,kawasaki ninja 300,"Dallas, TX",3498.95
2014 Kawasaki ninja 300 abs se,2014,3700,1500
2016 Kawasaki ninja 300 abs,2016,3650,1200
2016 Kawasaki ninja,2016,3500,7700
2018 Kawasaki ninja,2018,6000,1300
2014 Kawasaki ninja,2014,2300,10000
2016 Kawasaki ninja,2016,1234,200
2012 Kawasaki ninja,2012,2900,1600
2009 Kawasaki 250cc,2009,2600,4000
2023 Kawasaki ninja,2023,5800,300
2013 Kawasaki ninja,2013,3500,2000
2023 VENOM x22-gt 250 venom,2023,2995,322
2011 Kawasaki Kawasaki,2011,2900,2700
2011 Kawasaki,2011,2000,600
2022 Kawasaki ninja,2022,5500,3500
2017 Kawasaki ninja,2017,4200,-1
2020 Kawasaki z400,2020,3500,1200
2017 Kawasaki ninja,2017,4500,500
2014 Kawasaki ninja,2014,3600,2400
2019 Yamaha yzf,2019,4000,1700
2000 Kawasaki ninja,2000,1600,900
-,yamaha r3,"Washington, DC",3547.57
2014 Kawasaki ninja,2014,3800,3400
2023 Yamaha yz85bw,2023,3500,1200
2006 Yamaha yzf,2006,3000,2300
2020 Kawasaki ninja ex400 glf abs,2020,3999,675
2019 Yamaha yzfr,2019,4400,765
2018 Honda cbr,2018,3300,300
2018 Honda cbr,2018,3800,3900
2008 Kawasaki ninja,2008,1800,4200
2018 Suzuki,2018,3000,4700
2021 Yamaha yzf,2021,3800,5500
2022 Yamaha r7,2022,9800,3800
2020 Yamaha mt,2020,5100,3900
2010 Kawasaki ninja,2010,3200,6300
2021 Yamaha yzf,2021,4500,300
2025 Kawasaki ninja,2025,-2,10000
2015 Yamaha yzfr,2015,4500,600
2017 Yamaha yzf,2017,5500,600
2016 Kawasaki ex300,2016,3600,8300
1988 Yamaha route 66,1988,900,7100
1981 Yamaha,1981,-2,900
2012 Kawasaki ninja,2012,3000,4000
-,yamaha r3,"Richmond, VA",4389.47
2016 Kawasaki ninja 300,2016,2500,2500
2023 Kawasaki ninja,2023,5500,-1
2020 Yamaha yzfr,2020,3500,2500
2023 Yamaha yzf,2023,6500,300
2010 Yamaha 950 v star,2010,3900,2300
2019 Yamaha yzf,2019,-2,100
2022 Yamaha r7,2022,9500,7500
2022 Yamaha r7,2022,9500,1500
2015 Yamaha fz,2015,-2,4400
2021 Yamaha mt,2021,4300,3500
2014 Kawasaki ninja,2014,3800,3400
2013 Honda cbr,2013,3200,6200
2023 Yamaha yz85bw,2023,3500,1200
2010 Kawasaki ninja,2010,3200,6300
2006 Yamaha yzf,2006,3000,2300
2017 Yamaha yzfr,2017,5000,7200
2020 Yamaha yzf,2020,5500,600
2009 Yamaha fz,2009,3500,2000
2020 Yamaha mt,2020,7500,1800
-,yamaha r3,"Virginia Beach, VA",4342.45
2023 Kawasaki ninja 400 krt edition,2023,4500,1200
2024 Yamaha yzf,2024,5400,300
2021 Honda cb300r abs,2021,3850,4700
2020 Yamaha yzf,2020,5500,600
2023 Yamaha mt,2023,5000,750
2013 Honda cbr,2013,3200,6200
2024 Yamaha r7,2024,9199,-1
2005 Yamaha yzf,2005,2950,4800
2023 Yamaha yz85bw,2023,3500,1200
2016 Kawasaki ninja 300 abs,2016,3500,8500
2023 Kawasaki ninja,2023,6750,3900
2014 Kawasaki ninja,2014,3800,3400
2000 Yamaha yzf,2000,3000,6000
2012 Kawasaki ninja,2012,4500,2700
2018 Kawasaki z900 abs,2018,6500,8200
2023 Yamaha yzf,2023,6000,300
2016 Kawasaki ninja 300,2016,2500,2500
2018 Kawasaki ninja,2018,4200,5800
2006 Yamaha yzf,2006,3000,2300
2019 Yamaha yzf,2019,-2,100
-,yamaha r3,"Orlando, FL",5163.61
2021 Yamaha yzf,2021,4950,4700
2024 Yamaha yzfr3  r3,2024,5499,11100
2010 Kawasaki 250r,2010,2500,2500
2014 Kawasaki ninja \ud83e\udd77,2014,2500,-1
2024 Yamaha yzfr,2024,5499,1000000
2013 Yamaha yzf,2013,8900,9500
2023 Kawasaki ninja,2023,5000,500
2024 Yamaha yzf,2024,5499,300
2021 Yamaha mt,2021,4200,400
2017 Yamaha yzf,2017,2500,700
2015 Kawasaki ninja 300 se,2015,2800,1700
2023 Yamaha yzf,2023,6000,911
2012 Yamaha fz,2012,5200,4400
2024 Yamaha yzfr,2024,9199,1200
2021 Yamaha mt,2021,5200,1300
2024 Yamaha yzf,2024,5499,300
2016 Yamaha yzf,2016,6000,1300
2007 Suzuki gsrx,2007,6000,4500
-,yamaha r3,"Jacksonville, FL",5086.0
2018 Yamaha yzf-r3 abs,2018,4800,8800
2024 Yamaha yzfr,2024,5499,300
2018 Yamaha yzfr,2018,4999,8800
2022 KTM duke,2022,-2,600
2019 Yamaha yzf,2019,5495,1600
2023 Yamaha mt,2023,8000,7200
2023 Yamaha r7,2023,9800,3300
2024 Yamaha yzf-r3 abs,2024,5499,-1
2023 Yamaha mt,2023,4750,2300
2012 Yamaha yzf,2012,5500,8800
2023 Yamaha mt,2023,4799,1500
2016 Yamaha fz,2016,6495,1400
2024 Yamaha yzfr3  r3,2024,5499,11100
2015 Honda cbr,2015,3000,3000
2016 Honda cbr,2016,4000,3700
2015 Yamaha yzfr,2015,3500,1800
2009 Yamaha fz,2009,3500,2100
2014 Kawasaki ninja \ud83e\udd77,2014,2500,-1
2014 Yamaha yzf,2014,8999,1700
-,yamaha r3,"Philadelphia, PA",3843.48
2019 Yamaha yzf,2019,5000,3100
2023 Yamaha yzf,2023,5000,400
2016 Yamaha yzf r3,2016,4000,2000
2021 Yamaha yzf,2021,4800,2200
2012 Kawasaki ninja 250cc,2012,1400,6000
2018 Yamaha yzf-r1,2018,4850,1800
2018 Dong Fang gxr,2018,1400,200
2018 Yamaha yzfr,2018,3600,7800
2015 Yamaha yzf,2015,4200,900
2003 Yamaha yzf,2003,3450,2900
2017 Kawasaki ninja,2017,3800,1000
2021 Kawasaki z125,2021,2400,-1
2017 Yamaha yzf,2017,3800,300
2018 Honda cbr,2018,3500,4200
2023 Yamaha yz250x,2023,7000,300
2019 Yamaha yzf,2019,4300,3700
2022 Yamaha r7,2022,0,2300
2016 Yamaha yzf,2016,4500,600
2019 Yamaha yzfr,2019,4400,765
2014 Kawasaki ninja,2014,3200,7800
2023 Yamaha yzf,2023,6000,2400
2020 Yamaha yzf,2020,5000,1500
2003 Yamaha yzf600r,2003,2800,2200
-,yamaha r3,"Pittsburgh, PA",3073.6
2015 Yamaha yzfr3 trade,2015,-2,5600
2015 Yamaha yzf,2015,3669,7500
2021 Yamaha yzf,2021,4500,300
2001 Yamaha yzf,2001,3000,3300
2024 Yamaha yzf,2024,5499,300
2004 Yamaha yzf (trades),2004,1234,1600
1998 Yamaha yzf 600r,1998,2200,2000
2020 Yamaha mt,2020,4000,1800
2022 Yamaha r7,2022,0,2300
2023 Kawasaki ninja,2023,5000,100
2022 Kawasaki z400 (abs),2022,4500,822
2012 Kawasaki ninja,2012,2900,1000
2022 Kawasaki ninja,2022,4500,1000
2015 KTM rc,2015,3400,5300
2021 Kawasaki ninja replica,2021,1800,1500
2021 Yamaha yzfr,2021,3500,1500
2017 Yamaha yzf,2017,1000,3900
2016 Yamaha fz,2016,5000,600
2017 Yamaha yzfr,2017,4500,3500
2016 KTM rc,2016,1270,5300
-,yamaha r3,"Baltimore, MD",3357.4
2023 Yamaha yz85bw,2023,3500,1200
2019 Yamaha yzfr,2019,4400,765
2020 Kawasaki ninja ex400 glf abs,2020,3999,675
2006 Yamaha yzf,2006,3000,2300
2014 Kawasaki ninja,2014,3800,3400
2019 Yamaha yzf,2019,4500,6300
2022 Yamaha r7,2022,0,2300
1981 Yamaha,1981,-2,900
2023 Kawasaki z400(abs),2023,4200,1800
2016 Yamaha yzf,2016,3450,5300
1988 Yamaha route 66,1988,900,7100
2019 Yamaha yzf,2019,4700,4100
2023 Yamaha yzf,2023,4999,300
2021 Yamaha yzf,2021,3800,5500
2016 Yamaha yzf r3,2016,4000,2000
2018 Honda cbr,2018,3300,300
2014 Kawasaki ninja,2014,1600,7300
2023 Yamaha yzf,2023,6000,2400
2002 Yamaha fz,2002,1500,3100
2022 Yamaha mt,2022,5500,444
-,yamaha r3,"New York City, NY",3806.52
2019 Yamaha yzf,2019,5000,3100
2021 Yamaha yzf,2021,4800,2200
2017 Yamaha yzf,2017,3800,300
2023 Thoroughbred Motorsports z6,2023,1800,600
2017 Yamaha yzf,2017,3500,2200
2016 Yamaha yzf r3,2016,4000,2000
2018 Yamaha yzfr,2018,3600,7800
2016 Yamaha yzfr,2016,4000,2600
2015 Yamaha yzfr,2015,4000,400
2019 Yamaha yzf,2019,4500,400
2005 Yamaha yzf,2005,4200,3600
2021 Yamaha yzf-r1,2021,4800,800
2023 Yamaha yzfr,2023,5300,300
2018 Yamaha yzf,2018,4350,5600
2021 Yamaha r3 edici\u00f3n monster,2021,-2,1200
2016 Yamaha yzf,2016,3500,500
2016 Yamaha yzf,2016,5500,1200
2018 Yamaha yzf,2018,4000,700
2022 Yamaha yzf,2022,5000,2400
2015 Yamaha yzf,2015,4000,6600
2016 Honda cbr,2016,3700,100
2015 Yamaha yzf,2015,4200,900
2023 Yamaha yzf,2023,-2,100
-,yamaha r3,"Atlanta, GA",3463.57
2017 Yamaha yzf,2017,1234,300
2017 Yamaha yzf-r3 abs,2017,2250,2000
2018 Yamaha yzf,2018,3900,700
2012 Honda Cbr250r,2012,2800,2000
2024 Yamaha yzf,2024,5499,300
2015 Yamaha yzf,2015,3500,3500
2020 Yamaha yzf,2020,5500,100
2005 Yamaha yzf,2005,1550,-1
2012 Kawasaki ninja,2012,3400,800
2017 Yamaha r3 abs,2017,4500,6400
2022 Kawasaki ninja ex400,2022,5000,3300
2018 Yamaha yzf,2018,4000,12300
2006 Yamaha yzf-r1,2006,1234,3600
2006 Yamaha yzf,2006,3800,2400
2022 Yamaha yzf,2022,1234,1200
2018 Yamaha yzfr,2018,3800,1900
2021 Kawasaki ninja 400 abs,2021,1234,5800
2023 Kawasaki,2023,5000,4500
2019 Yamaha yzfr,2019,5000,7800
2015 Kawasaki ninja,2015,3800,1900
2018 Suzuki gsx250r,2018,4500,2500
-,yamaha r3,"Newark, NJ",4522.5
2019 Yamaha yzf,2019,5000,3100
2017 Yamaha yzf,2017,3800,300
2018 Yamaha yzfr,2018,3600,7800
2021 Yamaha yzf,2021,4800,2200
2021 Yamaha yzf,2021,5100,300
2016 Yamaha yzf r3,2016,4000,2000
2005 Yamaha yzf,2005,4200,3600
2021 Yamaha yzf-r1,2021,4800,800
2019 Yamaha yzf,2019,4300,3700
2021 Yamaha r3 edici\u00f3n monster,2021,-2,1200
2023 Yamaha yzfr,2023,8500,1600
2016 Yamaha yzfr,2016,4000,2600
2015 Yamaha yzfr,2015,4000,400
2018 Yamaha yzf,2018,4350,5600
2016 Yamaha yzf,2016,5500,1200
2021 Kawasaki ninja,2021,4500,7100
2016 Yamaha yzf,2016,3500,500
2018 Yamaha yzf,2018,4000,700
2012 Yamaha yzf,2012,8500,9800
2017 Yamaha yzf,2017,4000,400
-,yamaha r3,"Cleveland, OH",4875.48
2024 Yamaha yzf,2024,5499,300
2021 Yamaha yzfr,2021,3500,1500
2023 Kawasaki ninja,2023,5000,100
2012 Kawasaki ninja,2012,2900,1000
2006 Yamaha yzf,2006,4800,1900
2015 Yamaha yzfr3 trade,2015,-2,5600
2024 Yamaha yzfr,2024,6736,300
2017 Yamaha yzf,2017,3800,1900
2008 Kawasaki ninja,2008,3500,5500
2023 Yamaha r3 abs,2023,5000,2100
2021 Yamaha yzfr,2021,4200,6200
2014 Honda cbr,2014,4500,600
2015 Honda cbr,2015,3600,4800
2022 Yamaha yzf,2022,15000,200
2021 Kawasaki ninja,2021,4500,300
2016 Yamaha yzf,2016,5000,6900
2012 Yamaha yzf-r1,2012,8500,2700
1999 Honda cbr,1999,1500,1700
2013 Kawasaki 650 ninja,2013,3600,1300
2021 Yamaha r3 - moto gp edition,2021,5500,2200
2006 Yamaha yzf,2006,5750,2100
-,yamaha r3,"Charlotte, NC",3556.35
2023 Kawasaki ninja,2023,1234,2500
2023 Kawasaki ninja,2023,4995,2100
2017 Yamaha yzf,2017,1000,3900
2020 Yamaha yzfr,2020,3500,2500
2020 Yamaha mt,2020,4300,3300
2017 Yamaha yzf,2017,3750,8600
2015 Yamaha yw50,2015,2000,6700
2016 Yamaha yzf,2016,3500,1600
2023 Yamaha yzf,2023,4999,300
2021 Dong Fang teyin wasp,2021,1800,300
2002 Yamaha yzf-r1,2002,-2,2400
2016 Yamaha yzf,2016,3000,4300
2021 Yamaha yzf,2021,5000,1200
2016 Yamaha fz,2016,6800,1800
2023 Yamaha yzf,2023,5499,500
2017 Yamaha yzf-r3 abs,2017,4250,1700
2015 Yamaha yzfr,2015,3500,4500
2017 Yamaha yzf,2017,4500,300
2023 Kawasaki venom,2023,2500,100
2021 Yamaha yzf,2021,5000,1500
-,yamaha r3,"Nashville, TN",3744.48
2016 Yamaha yzf,2016,4000,2300
2022 Kawasaki ninja,2022,5000,800
2018 Suzuki gsx,2018,4000,100
2013 Kawasaki ninja,2013,3000,700
2016 Yamaha yzf,2016,4000,2300
2016 Yamaha yzfr,2016,3000,4900
2005 Yamaha yzf,2005,2000,7400
2008 Kawasaki ninja 650r,2008,3300,900
2023 Kawasaki ninja,2023,4900,2500
2020 Honda cbr 650r,2020,8000,300
2019 Suzuki gsxr,2019,3950,1400
2020 Yamaha yzf,2020,4400,500
2016 Honda cbr,2016,1234,400
2021 Yamaha yzfr,2021,5450,-1
2015 Honda cbr,2015,3800,7600
2008 Kawasaki ninja,2008,2200,2000
2022 Yamaha other,2022,4000,300
2015 Yamaha yzf,2015,4500,1100
2013 Honda cbr,2013,3600,1800
2011 Kawasaki ninja,2011,1800,6200
2005 Yamaha yzf,2005,2500,1900
-,yamaha r3,"Dallas, TX",4071.95
2015 Yamaha r3,2015,3240,4900
2016 Yamaha yzf,2016,3600,5300
2019 Yamaha yzf,2019,4000,1700
2024 Yamaha yzf,2024,5499,300
2023 Yamaha yzf r3  abs,2023,5499,333
